ID,employee_ID,skill_ID,level,createdAt,createdBy,modifiedAt,modifiedBy
15419872-e6ac-4464-b864-079c2455d7cf,84274093-605d-4482-baf9-a15885df9c83,23374474-19af-4039-b2ad-703fc94c8da0,BEGINNER,2011-10-26T00:00:00.000Z,createdBy.96i1s@example.com,2017-10-13T00:00:00.000Z,modifiedBy.96i1s@example.net
15419873-2ab7-41ed-b8d0-6c4a5ee9079d,84274093-605d-4482-baf9-a15885df9c83,23374474-19af-4039-b2ad-703fc94c8da0,ADVANCED,2000-11-10T00:00:00.000Z,createdBy.96i1t@example.org,2008-06-15T00:00:00.000Z,modifiedBy.96i1t@example.net
26961432-8fde-4cae-bb62-dcfa07ec674e,84274106-9264-45e0-b0bf-fa15b067867a,23374474-19af-4039-b2ad-703fc94c8da0,INTERMEDIATE,2011-11-19T00:00:00.000Z,createdBy.g1vko@example.org,2006-04-03T00:00:00.000Z,modifiedBy.g1vko@example.net
26961433-e59b-450c-899c-1352bf89da5e,84274106-9264-45e0-b0bf-fa15b067867a,23374474-19af-4039-b2ad-703fc94c8da0,INTERMEDIATE,2021-11-19T00:00:00.000Z,createdBy.g1vkp@example.com,2003-09-29T00:00:00.000Z,modifiedBy.g1vkp@example.net
87043080-9b17-4c6d-82d2-de9c1b7b4732,84274113-e7f6-4065-8618-ebce52ca00eb,23374474-19af-4039-b2ad-703fc94c8da0,ADVANCED,2003-11-17T00:00:00.000Z,createdBy.56kac@example.com,2004-04-29T00:00:00.000Z,modifiedBy.56kac@example.net
87043097-5ddd-4c78-af80-192aa348be11,84274113-e7f6-4065-8618-ebce52ca00eb,23374474-19af-4039-b2ad-703fc94c8da0,ADVANCED,2003-12-01T00:00:00.000Z,createdBy.56kad@example.com,2013-05-17T00:00:00.000Z,modifiedBy.56kad@example.com
11333775-926b-47c9-b2e8-e6dcd2333528,8427412e-4a14-4337-8828-183b25c95284,23374474-19af-4039-b2ad-703fc94c8da0,ADVANCED,2022-11-24T00:00:00.000Z,createdBy.6qx73@example.net,2011-08-22T00:00:00.000Z,modifiedBy.6qx73@example.com
11333776-f8b3-49d7-b8b8-44acc3b3e4fd,8427412e-4a14-4337-8828-183b25c95284,23374474-19af-4039-b2ad-703fc94c8da0,INTERMEDIATE,2012-08-04T00:00:00.000Z,createdBy.6qx74@example.net,2000-05-10T00:00:00.000Z,modifiedBy.6qx74@example.net
2787775a-aee0-40a7-9632-44312954b6aa,8427413c-aa4b-4767-a3f5-04214389d3ce,23374474-19af-4039-b2ad-703fc94c8da0,BEGINNER,2004-10-09T00:00:00.000Z,createdBy.1nr27@example.net,2017-04-17T00:00:00.000Z,modifiedBy.1nr27@example.com
27877764-0ebe-4e8a-8673-0911512825ce,8427413c-aa4b-4767-a3f5-04214389d3ce,23374474-19af-4039-b2ad-703fc94c8da0,ADVANCED,2010-09-13T00:00:00.000Z,createdBy.1nr28@example.com,2009-06-30T00:00:00.000Z,modifiedBy.1nr28@example.org
